abroad,aboard
adobe,abode
alter,alert
altered,alerted
altering,alerting
alters,alerts
ami,aim
anal,alan
angle,angel
angles,angels
ani,ain
aside,aides
assume,amuses
auger,argue
axle,axel
baba,abba
bale,able
barley,barely
basil,bails
bates,baste
beads,based
beak,bake
bean,bane
bear,bare
beard,bared
beast,bates,baste
beats,bates,baste,beast
being,begin
beings,begins
bene,been
berate,beater
beta,beat
bets,best
binge,being,begin
blabbing,babbling
blam,balm
blamed,bedlam
boats,boast
bolt,blot
boots,boost
bora,boar
boredom,bedroom
bowel,below
bowl,blow
bowled,blowed
bowler,blower
bowling,blowing
bowls,blows
bra,bar
brad,bard
brake,baker
brakes,bakers
bran,barn
bras,bars
bread,bared,beard
break,baker,brake
breaks,bakers,brakes
breath,bertha
bree,beer
broad,board
broader,boarder
broads,boards
browse,bowers
buggered,begrudge
bulge,bugle
buries,bruise
burned,burden
burnt,brunt
busier,bruise,buries
bustle,bluest
butlers,bluster
buts,bust
buys,busy
bye,bey
cadet,acted
calibre,caliber
came,acme
cane,acne
canton,cannot
capitals,aplastic
car,arc
care,acre
cares,acres
case,aces
cast,acts
castor,actors
cat,act
cates,caste
cats,cast,acts
caution,auction
cedar,cared
cellar,caller
cellars,callers
centre,center
chase,aches
chased,cashed
chaser,arches
chasing,cashing
china,chain
chisel,chiles
cinema,anemic
clam,calm
clams,calms
cleanser,cleaners
cleats,castle
closets,closest
coast,ascot
coats,ascot,coast
cobra,carbo
coed,code
coeds,codes
cola,coal
cold,clod
colds,clods
coles,close
compared,compadre
contra,carton
converse,conserve
coral,carol
cordon,condor
cosmic,comics
costa,coats,ascot,coast
cots,cost
could,cloud
crab,carb
crabs,carbs
crap,carp
crate,cater
crated,carted
crater,carter
crates,caters
crave,carve
craving,carving
creating,catering
crepe,creep
crepes,creeps
cried,cider
cripple,clipper
cripples,clippers
crops,corps
croutons,contours
curd,crud
cured,crude
curled,curdle
curse,cures
curtsy,crusty
cusp,cups
cutlery,cruelty
dab,bad
dad,add
dads,adds
dais,aids
deal,dale
dear,dare
dears,dares
deb,bed
debrief,briefed
debris,brides
declare,cleared
deco,coed,code
decor,credo
delta,dealt
demand,damned
dessert,deserts
destiny,density
diapers,despair
diary,dairy
dibs,bids
direct,credit
directed,credited
discrete,discreet
diva,avid
divorces,discover
doc,cod
doing,dingo
dome,demo
doorbell,bordello
dose,does
dots,dost
downside,disowned
drab,brad,bard
drawback,backward
dread,dared
dream,armed
drive,diver
drives,divers
dual,auld
dub,bud
duce,cued
duffle,duffel
dye,dey
dying,dingy
each,ache
eager,agree
ear,are
earring,angrier
ears,arse
eastern,earnest
eat,ate
eaters,easter
eats,east
eddy,dyed
edict,cited
edit,diet
editing,dieting
edits,diets
elbow,below,bowel
elbows,bowels
else,eels
eluded,delude
emphatic,empathic
encinas,canines
end,den
endear,earned
envied,endive
era,ear,are
escort,corset
eta,ate,eat
eternity,entirety
exits,exist
expect,except
expected,excepted
face,cafe
faced,decaf
fade,deaf
fainted,defiant
far,arf
fat,aft
fear,fare
feast,fates
feat,fate
feats,fates,feast
feta,feat,fate
fiber,brief
fibers,briefs
fibre,brief,fiber
filed,field
fined,fiend
finished,fiendish
fits,fist
fleas,false
flee,feel
fleeing,feeling
flies,files
float,aloft
foster,forest
fowl,flow
fowler,flower
frail,flair
framers,farmers
frat,fart
freight,fighter
fried,fired
friend,finder
friends,finders
fries,fires
fringe,finger
fringes,fingers
fro,for
from,form
fryer,ferry
fuel,flue
fused,feuds
gain,agin
gallery,allergy
gander,danger
garb,brag
garden,gander,danger
gardens,dangers
gasp,gaps
geared,agreed
gen,eng
geneva,avenge
genital,gelatin
getaway,gateway
gib,big
gnats,angst
goa,ago
goad,dago
gobs,bogs
god,dog
gods,dogs
goes,egos
gofer,forge
golf,flog
goober,booger
gore,ergo
grab,garb,brag
grabs,brags
grad,drag
grease,agrees
great,grate
green,genre
grenade,enraged
grovel,glover
grudging,drugging
had,dah
has,ash
hated,death
hater,earth
hates,haste
hats,hast
header,adhere
heads,hades
heal,hale
hear,hare
heart,earth,hater
hearty,earthy
heat,hate
heats,hates,haste
height,eighth
hic,chi
highest,heights
hire,heir
hires,heirs
hissed,dishes
hoarse,ashore
hocking,choking
hogs,gosh
hole,helo
hose,hoes
hostile,holiest
hotels,hostel
hots,host
hugs,gush
hula,haul
hurts,hurst
hydra,hardy
iced,dice
iceman,anemic,cinema
ich,chi,hic
icon,coin
icons,coins
idea,aide
ideas,aides,aside
idle,deli
ignited,dieting,editing
ignored,eroding
inbred,binder
inch,chin
indeed,denied
indulge,dueling
indulged,deluding
ingenue,genuine
insect,incest
inside,indies
instance,ancients
integral,alerting,altering
ironed,dinero
itch,chit
itches,ethics
item,emit
jean,jane
jets,jest
khan,hank
kids,disk
kin,ink
kind,dink
kinds,dinks
knee,keen
kobo,book
lace,alec
lacy,clay
ladies,ideals
lag,gal
lager,glare
laid,dial
lake,kale
lama,alma
lamb,balm,blam
lance,clean
large,glare,lager
largely,allergy,gallery
las,als
lashes,hassle
lassie,aisles
lasted,deltas
later,alter,alert
lather,halter
latitude,altitude
lattes,latest
laurel,allure
layer,early
lead,dale,deal
leader,dealer
leaders,dealers
leading,dealing
leads,deals
leaf,flea
leafs,false,fleas
leak,lake,kale
leaks,lakes
lean,lane
leans,lanes
leaps,lapse
lear,earl
learnt,antler
leary,early,layer
lease,easel
leash,heals
led,del
lee,eel
left,felt
leg,gel
legs,gels
lessen,lenses
lets,lest
liane,alien
liar,lair
liberal,braille
lido,idol
lie,lei
lied,idle,deli
life,file
lifer,flier
lifers,fliers
lighted,delight
line,lien
link,kiln
linking,inkling
lira,liar,lair
listen,enlist
listened,enlisted
live,evil
lived,devil
lives,evils
loaf,foal
lobster,bolster
loca,coal,cola
loco,cool
lode,dole
logan,along
loin,lion
loins,lions
lone,leno
lots,lost
lube,blue
luce,clue
luge,glue
mac,cam
mace,came,acme
mad,dam
madden,demand,damned
made,dame
madre,dream,armed
mags,gams
mail,lima
maim,imam
main,amin
male,lame
manatees,emanates
manger,german
manila,animal
mantel,lament
mantle,mantel,lament
map,amp
maple,ample
mar,arm
marc,cram
marcel,calmer
march,charm
marched,charmed
marching,charming
marge,gamer
margin,arming
marginal,alarming
marina,airman
marine,airmen
married,admirer
